path,module,is_test,has_main_guard,cli_frameworks,static_inbound_count,non_test_static_inbound_count,static_outbound_count,workflow_reference_count,dynamic_import_indicator_count,execution_reference_count,test_reference_count,supported_root_count,reachable_from_supported_static_root,zero_static_inbound,authority_profile,disposition
domain/fixture_state_v2.py,domain.fixture_state_v2,False,False,,14,7,1,0,0,0,7,1,True,False,UNKNOWN,UNCLASSIFIED
domain/forward_calibration.py,domain.forward_calibration,False,False,,3,1,4,0,0,0,2,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_capture.py,domain.fotmob_capture,False,False,,2,1,0,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_capture.py,domain.fotmob_data_matches_capture,False,False,,81,40,1,0,0,0,41,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_eliminated_team_id_value_domain_extension.py,domain.fotmob_data_matches_eliminated_team_id_value_domain_extension,False,False,,10,7,6,0,0,0,3,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_eliminated_team_id_value_domain_protocol.py,domain.fotmob_data_matches_eliminated_team_id_value_domain_protocol,False,False,,3,1,4,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_final_result_semantics_protocol.py,domain.fotmob_data_matches_final_result_semantics_protocol,False,False,,9,6,2,0,0,0,3,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_final_result_semantics_validation.py,domain.fotmob_data_matches_final_result_semantics_validation,False,False,,2,1,2,0,0,0,1,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_final_result_semantics_validation_with_reason_gate.py,domain.fotmob_data_matches_final_result_semantics_validation_with_reason_gate,False,False,,3,1,4,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_full_time_score_capability_promotion_assessment.py,domain.fotmob_data_matches_full_time_score_capability_promotion_assessment,False,False,,4,2,2,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_full_time_score_capability_promotion_assessment_with_validated_adapter.py,domain.fotmob_data_matches_full_time_score_capability_promotion_assessment_with_validated_adapter,False,False,,3,1,5,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_full_time_score_capability_promotion_protocol.py,domain.fotmob_data_matches_full_time_score_capability_promotion_protocol,False,False,,7,3,4,0,0,0,4,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_ordinary_ft_finished_score_adapter.py,domain.fotmob_data_matches_ordinary_ft_finished_score_adapter,False,False,,15,9,7,0,0,0,6,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_ordinary_ft_finished_score_adapter_validation.py,domain.fotmob_data_matches_ordinary_ft_finished_score_adapter_validation,False,False,,4,2,3,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_post_finish_capture_pair_evidence.py,domain.fotmob_data_matches_post_finish_capture_pair_evidence,False,False,,6,3,3,0,0,0,3,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_probe.py,domain.fotmob_data_matches_probe,False,False,,10,8,0,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_schema.py,domain.fotmob_data_matches_schema,False,False,,14,9,2,0,0,0,5,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_status_reason_semantics_protocol.py,domain.fotmob_data_matches_status_reason_semantics_protocol,False,False,,7,6,4,0,0,0,1,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_status_reason_semantics_validation.py,domain.fotmob_data_matches_status_reason_semantics_validation,False,False,,4,2,4,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_terminal_state_schema_extension.py,domain.fotmob_data_matches_terminal_state_schema_extension,False,False,,5,3,5,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_data_matches_terminal_state_schema_extension_protocol.py,domain.fotmob_data_matches_terminal_state_schema_extension_protocol,False,False,,4,2,3,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_fixture_candidate_review.py,domain.fotmob_fixture_candidate_review,False,False,,31,12,2,0,0,0,19,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_fixture_candidates.py,domain.fotmob_fixture_candidates,False,False,,34,17,2,0,0,0,17,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_fixture_catalog_handoff.py,domain.fotmob_fixture_catalog_handoff,False,False,,17,7,3,0,0,0,10,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_fresh_holdout_capture_qualification_adapter.py,domain.fotmob_fresh_holdout_capture_qualification_adapter,False,False,,5,2,6,0,0,0,3,1,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_fresh_holdout_continuity.py,domain.fotmob_fresh_holdout_continuity,False,False,,9,3,0,0,0,0,6,3,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_fresh_holdout_ordinary_ft_settlement_schema_adapter.py,domain.fotmob_fresh_holdout_ordinary_ft_settlement_schema_adapter,False,False,,2,1,4,0,0,0,1,1,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_historical_source_history_adapter_protocol.py,domain.fotmob_historical_source_history_adapter_protocol,False,False,,4,2,5,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_historical_source_history_adapter_qualification.py,domain.fotmob_historical_source_history_adapter_qualification,False,False,,5,3,6,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_historical_source_history_completeness_materialization_protocol.py,domain.fotmob_historical_source_history_completeness_materialization_protocol,False,False,,4,2,8,0,0,0,2,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_historical_source_history_completeness_materialization_qualification.py,domain.fotmob_historical_source_history_completeness_materialization_qualification,False,False,,3,2,7,0,0,0,1,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_ordinary_ft_finished_score_source_history_completeness_assessment.py,domain.fotmob_ordinary_ft_finished_score_source_history_completeness_assessment,False,False,,2,1,2,0,0,0,1,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_ordinary_ft_finished_score_source_history_completeness_protocol.py,domain.fotmob_ordinary_ft_finished_score_source_history_completeness_protocol,False,False,,7,4,5,0,0,0,3,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_ordinary_ft_source_history_acquisition_protocol.py,domain.fotmob_ordinary_ft_source_history_acquisition_protocol,False,False,,6,3,4,0,0,0,3,4,True,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_ordinary_ft_source_history_acquisition_runner.py,domain.fotmob_ordinary_ft_source_history_acquisition_runner,False,False,,4,1,2,0,0,0,3,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_page_capture.py,domain.fotmob_page_capture,False,False,,5,3,0,0,0,0,2,0,False,False,UNKNOWN,UNCLASSIFIED
domain/fotmob_page_state.py,domain.fotmob_page_state,False,False,,2,1,1,0,0,0,1,0,False,False,UNKNOWN,UNCLASSIFIED
